Time.point.number	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_2	p_1	p_1	p_2	p_1	p_2	p_1	p_2	p_2
COBALSYN.PWY..adenosylcobalamin.salvage.from.cobinamide.I	42.2785	41.7878	18.3188	6.5957	42.6166	56.2533	31.6861	137.624	22.6002	45.1746	17.8946	52.7455	13.9781	23.3633	35.2437	31.7693	22.1196	37.0368	52.21	64.9933	154.944	27.5593	68.3522	51.0476	31.0344	28.2719	9.80806	90.6923	68.1925	107.019	52.6425	53.5701	53.5567	72.0544	154.343	26.8174	57.9668	188.404	34.5117	30.5632	48.4658	61.7003	22.1933	51.7585	58.4673	43.5119	30.691	46.1407	70.5285	55.8795	20.2439	92.2065	116.159	39.9759	8.49955	34.7705	59.0129	41.3641	9.8695	29.1645	13.2766	11.8462	52.0241	38.4375	47.3785	45.7087	89.6744	31.5355	19.6789	56.9658	69.1815	98.5472	32.2577	29.194	39.2163	59.8265	85.8899	56.5158	37.1305	23.6413
COLANSYN.PWY..colanic.acid.building.blocks.biosynthesis	15.8325	12.8333	13.9229	0	4.95613	21.6077	15.3315	12.4555	19.0708	9.03876	6.88633	38.4028	5.33366	13.6807	20.7396	15.8186	15.0025	20.5566	26.7221	10.6852	6.84634	31.9656	1.59474	9.87894	12.4338	19.4047	12.1426	20.5323	50.0033	8.85584	22.0999	20.2767	6.85306	14.7183	43.1057	12.7855	3.3943	40.8276	24.1838	8.7495	15.5828	1.43276	1.70402	0	11.1002	12.7427	4.25499	42.121	52.7778	22.6231	8.45473	7.12308	31.7047	0.743445	6.39079	14.0514	27.1194	15.5502	7.38519	29.7723	2.24039	5.76701	22.5009	12.7545	10.8928	15.976	0.944552	18.0566	2.89057	11.8742	11.4128	1.21034	0	13.4622	7.38908	25.9238	64.8999	12.9002	29.9694	5.2074
COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis	87.9828	76.8481	184.57	182.282	88.936	120.754	107.17	284.842	109.149	124.583	109.016	159.763	84.7061	74.4057	134.4	111.378	29.0901	93.9321	163.725	118.802	236.47	65.9472	120.818	185.675	150.661	129.975	133.483	169.154	189.943	179.418	232.22	199.622	271.186	161.281	283.171	72.6491	147.392	277.007	132.928	59.4015	121.414	128.402	215.304	172.819	128.736	109.686	172.304	124.346	121.118	93.995	55.4539	131.134	147.295	185.661	72.4757	122.108	215.474	152.568	163.738	131.974	149.571	109.357	142.779	104.959	123.435	167.51	178.179	211.922	133.379	172.191	126.7	184.098	86.8644	241.997	78.9568	128.586	202.884	136.731	124.39	101.95
CRNFORCAT.PWY..creatinine.degradation.I	0	0	0	0	0	0	1.57269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAPLYSINESYN.PWY..L.lysine.biosynthesis.I	17.5574	15.5993	20.9384	12.2619	11.1531	10.6663	31.9644	5.01888	3.9733	2.68562	11.6557	11.6101	1.54191	15.1863	9.87236	20.7725	19.0287	26.9722	28.3409	11.7704	5.96603	4.80651	4.07604	3.60036	15.0498	16.0364	16.7307	11.5768	29.8473	2.03011	25.4757	8.45433	0	18.677	22.0273	7.1656	2.70952	77.7134	5.98132	5.78888	26.2833	84.0249	9.00204	41.1323	10.7925	24.7992	12.6577	120.63	46.7817	16.2622	4.82604	6.68779	19.6427	3.40429	10.5976	6.86448	11.0677	16.0339	8.76672	23.6842	5.55821	7.15786	14.7348	15.0257	14.3699	16.1265	4.12256	6.28106	1.8182	6.83447	15.9039	3.52314	4.17967	4.3718	9.90482	18.5666	2.82544	8.69944	38.8232	9.61847
DENOVOPURINE2.PWY..superpathway.of.purine.nucleotides.de.novo.biosynthesis.II	11.7886	14.8797	15.9881	6.48515	7.85907	12.2017	30.7001	9.25243	23.7576	11.284	16.3043	20.4726	3.18797	10.0447	11.9126	17.029	2.29741	29.5611	21.0407	15.9376	22.4737	13.1942	25.6953	37.6304	28.9112	31.1114	27.6396	20.6586	11.2671	16.7558	39.8365	22.6766	6.42211	19.6973	0	14.0515	9.7853	35.8427	32.9987	21.0186	25.6199	36.7182	27.0999	13.2016	15.5264	9.36625	8.68679	0	24.5088	14.9234	17.9392	15.359	24.6331	34.2883	10.0382	16.5811	30.5039	18.9021	39.6087	9.97848	17.3185	7.65611	54.1881	34.2677	15.1863	9.75256	12.3062	21.7816	17.0182	17.8404	19.7147	46.8964	6.74997	15.2811	15.6481	13.475	55.0948	16.0361	54.8037	8.12698
DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I	63.6419	56.4657	34.7583	39.8021	41.6597	98.2727	92.3537	79.8274	56.3144	114.562	47.5036	94.7018	23.95	34.314	74.8615	69.7721	1.95198	67.4643	43.1358	162.972	313.724	79.058	128.302	68.9082	57.3498	60.486	105.997	148.66	173.245	154.843	140.277	82.5498	121.406	154.958	289.248	56.4004	122.02	218.503	114.709	91.765	114.418	67.0554	130.267	68.0999	96.5241	86.4038	50.1379	60.4389	94.9902	120.736	46.997	130.46	149.395	83.9996	35.0358	65.5005	131.436	63.4109	168.528	47.4156	24.887	24.5686	139.749	97.5592	100.453	48.5836	198.46	89.7942	50.1315	122.096	183.62	170.939	91.2382	60.0262	84.1266	112.634	205.575	87.9081	57.8362	27.2958
ECASYN.PWY..enterobacterial.common.antigen.biosynthesis	3.04709	1.57222	3.00522	0	0	0	0.528863	0	0	0	0.254633	0	0	4.269	0.487772	0	11.545	6.28343	6.02833	0.533142	0	0	0	0	0.456541	0.791766	2.21549	0	0	0	0.254282	0	0	0.519501	1.02489	1.80044	0.875531	17.2492	1.40048	0	0	48.4508	0	0	0	0	0	30.8175	19.9059	0.482897	0	0	0	0	0	0	0	0.681658	0	5.93345	0	1.5512	0	1.23214	0	0	0	0	0	0	2.17936	0	0	0	0.429804	1.86194	0	0	10.4216	0
ENTBACSYN.PWY..enterobactin.biosynthesis	11.211	5.77068	15.6682	0	4.00884	2.85333	3.74364	0	0	0	4.30845	0	0	11.1745	4.40314	0	31.0583	23.3392	25.8263	3.29984	0	0	0	0	6.23901	6.11727	8.62572	0	0	0	2.67719	0	0	6.65851	0	8.05036	4.54722	44.1428	9.95791	0	0	142.382	0	0	4.72124	0	0	86.5151	54.0435	4.49531	0	0	0	1.33905	0	2.97049	0	5.87409	0	23.205	0	6.42312	0	9.69969	3.69968	8.44964	0	1.74372	0	0	13.6323	1.77808	0	0	0	13.0782	2.8247	0	31.4657	0
FAO.PWY..fatty.acid..beta..oxidation.I	13.2237	4.37227	8.70617	2.2385	3.90714	5.32637	7.04681	0.569213	1.27854	0.308439	7.22461	3.5009	1.3649	13.4864	2.98963	4.80124	9.65727	15.5369	11.3123	3.15392	0.688456	1.97675	6.40202	0.828932	17.6693	7.18565	1.15326	2.51656	0	3.13493	0.440671	0.940037	1.50074	4.29388	4.25523	7.66384	4.52799	15.9114	2.07673	0	0.728894	25.0327	8.00228	0	3.48075	3.86943	3.57007	6.58234	23.3581	18.916	2.12182	1.76304	4.91656	3.44607	2.91143	4.996	4.21317	4.38387	1.35531	7.32231	3.32035	6.26512	2.33567	5.41134	6.39793	6.95663	6.91923	3.71286	4.34856	0.936529	9.43944	1.52732	0	1.07517	2.13475	10.2901	0.814814	2.59006	10.0506	1.89137
FASYN.ELONG.PWY..fatty.acid.elongation....saturated	15.1649	11.4803	18.099	11.9351	15.2584	5.69347	6.47148	0.873842	3.98427	1.56108	6.30735	0	0	16.0862	9.20799	5.06284	21.9861	21.0636	26.4602	16.9337	2.34971	38.9449	0.89264	8.15117	13.1141	9.38707	21.5812	10.1042	17.3031	2.06863	13.0232	4.48188	0	21.4252	5.17307	5.03241	3.7824	51.859	8.5419	2.79751	1.41692	92.8564	2.91866	1.0475	8.89833	7.4853	13.2209	153.491	53.6313	8.76242	0	0.798717	8.43119	7.0639	28.5739	5.81902	2.49941	8.18698	6.66381	25.9035	12.8853	6.69835	7.34903	9.36409	3.67699	16.6353	0.910689	3.00185	0	8.14301	8.34282	0.876689	0	1.79913	2.44178	9.70314	0.397248	4.81375	35.6705	3.00365
FASYN.INITIAL.PWY..superpathway.of.fatty.acid.biosynthesis.initiation..E..coli.	10.5705	8.17693	11.5041	7.80271	9.94066	3.67578	4.23303	0.547224	2.5263	0.978663	4.06606	0	0	12.1935	5.95425	3.26517	15.1824	16.3583	17.2129	11.5557	1.48433	24.7569	0.563316	5.19271	8.75042	5.9504	13.679	6.61829	11.1114	1.3018	8.00918	2.81074	0	15.4439	3.32219	3.34587	2.53412	50.4397	5.51225	1.81945	0.893221	78.6074	1.93659	0.653162	5.75099	4.82779	8.43131	97.5825	43.3593	6.56986	0	0.503028	5.57339	4.47304	19.4244	3.72277	1.56657	5.19222	4.219	16.713	8.26471	4.29969	4.7541	6.13645	2.31935	10.4142	0.571949	1.89056	0	5.16214	5.44006	0.553053	0	1.12804	1.54557	6.35853	0.248434	3.04605	24.8833	1.89457
FERMENTATION.PWY..mixed.acid.fermentation	19.5116	7.32469	8.70696	0	5.92834	1.5569	11.9994	0	0.579011	0	9.9194	0	0.283589	13.9108	9.25869	6.77501	14.2485	22.0589	17.7134	6.58205	0.471874	0.288509	8.03218	3.60459	7.87826	5.79924	9.14507	15.7227	0	7.68204	0.781519	0	0	11.4772	2.10603	3.15561	6.45835	47.1645	7.61477	2.6828	1.03488	86.5014	51.3497	0	2.01279	1.17543	1.34202	70.4325	20.9704	2.81155	0	0	5.8457	0.370671	2.27759	8.44647	2.13666	24.0166	0	14.9952	4.28402	3.93448	5.67099	5.69922	2.42607	9.7716	0.570267	2.62048	0	13.8135	11.656	0.392114	0	0	2.45566	13.4485	2.61075	1.06978	9.66593	3.98546
