Species	Means	Sds	point_number
Dialister_invisus	0.62	2.87	2
Bacteroides_sp_1_1_30	0.36	2.29	2
Enterococcus_faecalis	0.68	2.82	2
Bacteroides_ovatus	1.63	2.92	2
Parabacteroides_unclassified	0.67	2.1	2
Parabacteroides_distasonis	0.68	2.16	2
Roseburia_inulinivorans	0.83	1.92	2
Streptococcus_thermophilus	0.49	1.56	2
Clostridium_bolteae	0.4	1.53	2
Bacteroides_clarus	0.24	1.45	2
Bacteroides_plebeius	0.33	1.46	2
Megasphaera_unclassified	0.35	1.59	2
Ruminococcus_sp_5_1_39BFAA	0.74	1.8	2
Bacteroides_massiliensis	0.35	1.42	2
Bacteroides_fragilis	0.52	1.61	2
Bacteroides_caccae	0.71	1.79	2
Coprococcus_eutactus	0.19	1.22	2
Alistipes_putredinis	1.29	1.88	2
Bacteroides_xylanisolvens	0.24	0.98	2
Mitsuokella_multacida	0.15	0.92	2
Bacteroides_intestinalis	0.26	1.07	2
Alistipes_onderdonkii	0.38	1.03	2
Acidaminococcus_intestini	0.12	0.73	2
Streptococcus_parasanguinis	0.36	0.86	2
Lactococcus_phage_936_sensu_lato	0.15	0.71	2
Barnesiella_intestinihominis	0.44	0.85	2
Dorea_longicatena	0.66	0.9	2
Ruminococcus_lactaris	0.34	0.83	2
Ruminococcus_obeum	0.32	0.57	2
Bacteroides_salyersiae	0.09	0.54	2
Bacteroides_cellulosilyticus	0.18	0.6	2
Sutterella_wadsworthensis	0.08	0.51	2
Megamonas_unclassified	0.11	0.51	2
Eubacterium_hallii	0.27	0.49	2
Oscillibacter_unclassified	0.42	0.59	2
Bacteroides_coprocola	0.1	0.43	2
Akkermansia_muciniphila	0.07	0.38	2
Eubacterium_biforme	0.2	0.54	2
Coprococcus_catus	0.21	0.44	2
Coprobacillus_unclassified	0.13	0.39	2
Alistipes_indistinctus	0.09	0.34	2
Erysipelotrichaceae_bacterium_6_1_45	0.05	0.27	2
Odoribacter_splanchnicus	0.24	0.36	2
Bifidobacterium_longum	0.06	0.27	2
Pyramidobacter_piscolens	0.04	0.25	2
Bacteroides_pectinophilus	0.04	0.23	2
Bacteroidales_bacterium_ph8	0.07	0.25	2
Lachnospiraceae_bacterium_1_1_57FAA	0.1	0.28	2
Veillonella_unclassified	0.1	0.26	2
Lachnospiraceae_bacterium_8_1_57FAA	0.07	0.23	2
Clostridium_ramosum	0.06	0.22	2
Ruminococcus_callidus	0.07	0.28	2
Paraprevotella_clara	0.1	0.23	2
Haemophilus_parainfluenzae	0.06	0.21	2
C2likevirus_unclassified	0.07	0.22	2
Clostridium_bartlettii	0.12	0.25	2
Streptococcus_phage_ALQ13_2	0.03	0.17	2
Parasutterella_excrementihominis	0.06	0.18	2
Coprobacillus_sp_29_1	0.03	0.17	2
Bifidobacterium_breve	0.03	0.16	2
