class,mechanism,group,count,sampleID
MLS,23S rRNA methyltransferases,ERMQ,2,kazan5500_2016_05_31_HP_A_L03_167HP
MLS,23S rRNA methyltransferases,ERMR,2,kazan5500_2016_05_31_HP_A_L03_167HP
MLS,23S rRNA methyltransferases,ERMT,5,kazan5500_2016_05_31_HP_A_L03_167HP
MLS,23S rRNA methyltransferases,ERMX,2,kazan5500_2016_05_31_HP_A_L03_167HP
MLS,Lincosamide nucleotidyltransferases,LNUC,40,kazan5500_2016_05_31_HP_A_L03_167HP
MLS,Lincosamide nucleotidyltransferases,LNUF,4,kazan5500_2016_05_31_HP_A_L03_167HP
MLS,Macrolide phosphotransferases,MPHA,1,kazan5500_2016_05_31_HP_A_L03_167HP
MLS,Macrolide resistance efflux pumps,MACB,1,kazan5500_2016_05_31_HP_A_L03_167HP
MLS,Macrolide resistance efflux pumps,MEFA,17,kazan5500_2016_05_31_HP_A_L03_167HP
MLS,Macrolide resistance efflux pumps,MEL,3,kazan5500_2016_05_31_HP_A_L03_167HP
MLS,Macrolide resistance efflux pumps,MSRD,2,kazan5500_2016_05_31_HP_A_L03_167HP
MLS,Spiramycin efflux pumps,SRMB,1,kazan5500_2016_05_31_HP_A_L03_167HP
MLS,Streptogramin resistance ATP-binding cassette ABC efflux pumps,LSA,1,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,MDR mutant porin proteins,OMPF,3,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,MDR regulator,ASMA,4,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,MDR regulator,BAER,3,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,MDR regulator,CPXA,2,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,MDR regulator,CPXAR,8,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,MDR regulator,CRP,1,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,MDR regulator,EMRR,1,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,MDR regulator,EVGA,2,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,MDR regulator,EVGS,11,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,MDR regulator,GADX,1,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,MDR regulator,HNS,3,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,MDR regulator,MARR,1,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,MDR regulator,PHOQ,3,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,MDR regulator,SOXS,5,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,Multi-drug efflux pumps,ACRB,2,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,Multi-drug efflux pumps,ADEC,1,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,Multi-drug efflux pumps,EMRA,2,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,Multi-drug efflux pumps,EMRB,4,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,Multi-drug efflux pumps,EMRK,3,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,Multi-drug efflux pumps,EMRY,3,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,Multi-drug efflux pumps,MDFA,4,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,Multi-drug efflux pumps,MDTA,2,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,Multi-drug efflux pumps,MDTB,9,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,Multi-drug efflux pumps,MDTC,24,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,Multi-drug efflux pumps,MDTD,4,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,Multi-drug efflux pumps,MDTE,4,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,Multi-drug efflux pumps,MDTG,4,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,Multi-drug efflux pumps,MDTH,3,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,Multi-drug efflux pumps,MDTK,3,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,Multi-drug efflux pumps,MDTL,2,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,Multi-drug efflux pumps,MDTN,6,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,Multi-drug efflux pumps,MDTO,10,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,Multi-drug efflux pumps,MDTP,5,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,Multi-drug efflux pumps,MSBA,1,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,Multi-drug efflux pumps,OQXB,2,kazan5500_2016_05_31_HP_A_L03_167HP
Multi-drug resistance,Multi-drug efflux pumps,TOLC,5,kazan5500_2016_05_31_HP_A_L03_167HP
Phenicol,Chloramphenicol acetyltransferases,CAT,964,kazan5500_2016_05_31_HP_A_L03_167HP
Phenicol,Chloramphenicol acetyltransferases,CATA,1,kazan5500_2016_05_31_HP_A_L03_167HP
Phenicol,Chloramphenicol acetyltransferases,CATB,106,kazan5500_2016_05_31_HP_A_L03_167HP
Phenicol,Chloramphenicol acetyltransferases,CATP,1,kazan5500_2016_05_31_HP_A_L03_167HP
Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB,106,kazan5500_2016_05_31_HP_A_L03_167HP
Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP,5,kazan5500_2016_05_31_HP_A_L03_167HP
Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI,1,kazan5500_2016_05_31_HP_A_L03_167HP
Tetracyclines,Tetracycline inactivation enzymes,TETX,328,kazan5500_2016_05_31_HP_A_L03_167HP
Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETA,1,kazan5500_2016_05_31_HP_A_L03_167HP
Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETB,10,kazan5500_2016_05_31_HP_A_L03_167HP
Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETD,2,kazan5500_2016_05_31_HP_A_L03_167HP
Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETJ,6,kazan5500_2016_05_31_HP_A_L03_167HP
Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETL,10,kazan5500_2016_05_31_HP_A_L03_167HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TET32,427,kazan5500_2016_05_31_HP_A_L03_167HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TET40,811,kazan5500_2016_05_31_HP_A_L03_167HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM,42,kazan5500_2016_05_31_HP_A_L03_167HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETO,1138,kazan5500_2016_05_31_HP_A_L03_167HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETQ,3013,kazan5500_2016_05_31_HP_A_L03_167HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETS,3,kazan5500_2016_05_31_HP_A_L03_167HP
Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETW,2760,kazan5500_2016_05_31_HP_A_L03_167HP
Tetracyclines,Tetracycline transcriptional repressor,TETR,1,kazan5500_2016_05_31_HP_A_L03_167HP
Trimethoprim,Dihydrofolate reductase,DFRF,18,kazan5500_2016_05_31_HP_A_L03_167HP
Trimethoprim,Dihydrofolate reductase,DHFR,2,kazan5500_2016_05_31_HP_A_L03_167HP
Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,gyrB,2,kazan5500_2016_05_31_HP_A_L03_164HP
Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE,88,kazan5500_2016_05_31_HP_A_L03_164HP
Aminoglycosides,Aminoglycoside efflux pumps,ACRD,80,kazan5500_2016_05_31_HP_A_L03_164HP
Aminoglycosides,Aminoglycoside efflux pumps,ACRE,49,kazan5500_2016_05_31_HP_A_L03_164HP
Aminoglycosides,Aminoglycoside efflux pumps,ACRF,166,kazan5500_2016_05_31_HP_A_L03_164HP
Aminoglycosides,Aminoglycoside efflux regulator,ACRS,45,kazan5500_2016_05_31_HP_A_L03_164HP
Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,33,kazan5500_2016_05_31_HP_A_L03_164HP
Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,50,kazan5500_2016_05_31_HP_A_L03_164HP
Aminoglycosides,Aminoglycoside N-acetyltransferases,SAT,37,kazan5500_2016_05_31_HP_A_L03_164HP
Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT2-DPRIME,5,kazan5500_2016_05_31_HP_A_L03_164HP
Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME,159,kazan5500_2016_05_31_HP_A_L03_164HP
Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT6,38,kazan5500_2016_05_31_HP_A_L03_164HP
Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME,1039,kazan5500_2016_05_31_HP_A_L03_164HP
Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME,332,kazan5500_2016_05_31_HP_A_L03_164HP
Aminoglycosides,Aminoglycoside O-phosphotransferases,APH6,1187,kazan5500_2016_05_31_HP_A_L03_164HP
Bacitracin,Undecaprenyl pyrophosphate phosphatase,BACA,34,kazan5500_2016_05_31_HP_A_L03_164HP
betalactams,Class A betalactamases,CARB,22,kazan5500_2016_05_31_HP_A_L03_164HP
betalactams,Class A betalactamases,CBLA,13,kazan5500_2016_05_31_HP_A_L03_164HP
betalactams,Class A betalactamases,CFX,2766,kazan5500_2016_05_31_HP_A_L03_164HP
betalactams,Class A betalactamases,CTX,43,kazan5500_2016_05_31_HP_A_L03_164HP
betalactams,Class A betalactamases,GES,51,kazan5500_2016_05_31_HP_A_L03_164HP
betalactams,Class A betalactamases,LEN,1,kazan5500_2016_05_31_HP_A_L03_164HP
betalactams,Class A betalactamases,TEM,2266,kazan5500_2016_05_31_HP_A_L03_164HP
betalactams,Class A betalactamases,VEB,36,kazan5500_2016_05_31_HP_A_L03_164HP
betalactams,Class B betalactamases,IMP,4,kazan5500_2016_05_31_HP_A_L03_164HP
betalactams,Class C betalactamases,BLAEC,31,kazan5500_2016_05_31_HP_A_L03_164HP
betalactams,Class D betalactamases,OXA,11,kazan5500_2016_05_31_HP_A_L03_164HP
betalactams,Mutant porin proteins,OMP36,5,kazan5500_2016_05_31_HP_A_L03_164HP
betalactams,Penicillin binding protein,AMPH,50,kazan5500_2016_05_31_HP_A_L03_164HP
betalactams,Penicillin binding protein,PBP2,69,kazan5500_2016_05_31_HP_A_L03_164HP
betalactams,Penicillin binding protein,PBP2B,2,kazan5500_2016_05_31_HP_A_L03_164HP
betalactams,Penicillin binding protein,PBP4B,50,kazan5500_2016_05_31_HP_A_L03_164HP
Cationic antimicrobial peptides,Lipid A modification,ARNA,65,kazan5500_2016_05_31_HP_A_L03_164HP
Cationic antimicrobial peptides,Lipid A modification,PMRC,107,kazan5500_2016_05_31_HP_A_L03_164HP
Cationic antimicrobial peptides,Lipid A modification,PMRF,52,kazan5500_2016_05_31_HP_A_L03_164HP
Cationic antimicrobial peptides,Polymyxin B resistance regulator,pmrA,18,kazan5500_2016_05_31_HP_A_L03_164HP
Cationic antimicrobial peptides,Polymyxin B resistance regulator,PMRB,44,kazan5500_2016_05_31_HP_A_L03_164HP
Cationic antimicrobial peptides,Polymyxin-resistant phoP,phoP,16,kazan5500_2016_05_31_HP_A_L03_164HP
Elfamycins,EF-Tu inhibition,TUFAB,220,kazan5500_2016_05_31_HP_A_L03_164HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA,157,kazan5500_2016_05_31_HP_A_L03_164HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRB,88,kazan5500_2016_05_31_HP_A_L03_164HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC,173,kazan5500_2016_05_31_HP_A_L03_164HP
Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,parE,61,kazan5500_2016_05_31_HP_A_L03_164HP
Fluoroquinolones,Quinolone resistance protein Qnr,QNRS,10,kazan5500_2016_05_31_HP_A_L03_164HP
Glycopeptides,VanC-type regulator,VANSC,1,kazan5500_2016_05_31_HP_A_L03_164HP
Glycopeptides,VanC-type resistance protein,VANC,3,kazan5500_2016_05_31_HP_A_L03_164HP
Glycopeptides,VanC-type resistance protein,VANTC,7,kazan5500_2016_05_31_HP_A_L03_164HP
Lipopeptides,Daptomycin-resistant beta-subunit of RNA polymerase RpoC,RPOC,2,kazan5500_2016_05_31_HP_A_L03_164HP
Lipopeptides,Daptomycin-resistant cls,CLS,19,kazan5500_2016_05_31_HP_A_L03_164HP
Lipopeptides,Daptomycin-resistant liaFSR,LIAFSR,17,kazan5500_2016_05_31_HP_A_L03_164HP
MLS,23S rRNA methyltransferases,ERM,5,kazan5500_2016_05_31_HP_A_L03_164HP
MLS,23S rRNA methyltransferases,ERMB,108,kazan5500_2016_05_31_HP_A_L03_164HP
MLS,23S rRNA methyltransferases,ERMF,770,kazan5500_2016_05_31_HP_A_L03_164HP
MLS,23S rRNA methyltransferases,ERMG,2,kazan5500_2016_05_31_HP_A_L03_164HP
MLS,23S rRNA methyltransferases,ERMR,4,kazan5500_2016_05_31_HP_A_L03_164HP
MLS,23S rRNA methyltransferases,ERMT,8,kazan5500_2016_05_31_HP_A_L03_164HP
MLS,23S rRNA methyltransferases,ERMX,5,kazan5500_2016_05_31_HP_A_L03_164HP
MLS,ABC transporter,TLRC,1,kazan5500_2016_05_31_HP_A_L03_164HP
MLS,Lincosamide nucleotidyltransferases,LNUC,3,kazan5500_2016_05_31_HP_A_L03_164HP
MLS,Macrolide phosphotransferases,MPHA,467,kazan5500_2016_05_31_HP_A_L03_164HP
MLS,Macrolide resistance efflux pumps,MEFA,36,kazan5500_2016_05_31_HP_A_L03_164HP
MLS,Macrolide resistance efflux pumps,MEL,30,kazan5500_2016_05_31_HP_A_L03_164HP
MLS,Macrolide resistance efflux pumps,MSRC,26,kazan5500_2016_05_31_HP_A_L03_164HP
MLS,Macrolide resistance efflux pumps,MSRD,36,kazan5500_2016_05_31_HP_A_L03_164HP
